ID;TWITTER;TWEETS;CURTIDAS;DATA_CRIADO;SEGUINDO;SEGUIDORES;STATUS_CONTA;CHANCE_SPAM
1001004504106655744;@m_drachmann;21266;205148;03-28-2018;1641;799;active;Normal
1001367844343316481;@cadaver701;18736;48083;03-29-2018;5825;6048;active;Problematic
1002263758406733824;@Newas60;25542;30362;04-31-2018;9011;8596;active;Problematic
1003007907829633024;@ericwhiteback;12774;32593;03-2-2018;890;148308;active;Normal
1005091312926904322;@ommwambaKE;33873;23622;05-8-2018;4707;40597;active;Problematic
1009093228073713664;@murphy_ld;23892;68458;04-19-2018;4985;2608;active;Normal
1009557168;@BryanHeemskerk;1129;2150;04-13-2012;843;18530;active;Normal
1010592465185722368;@KhayamTV;23830;24076;03-23-2018;3397;3691;active;Normal
1010728704614412293;@MotleyCrowMasks;2654;15206;04-24-2018;262;11054;active;Normal
1010807611246116864;@Praisefit1;5159;5029;10-24-2018;3182;2316;active;Problematic
101111768;@lehint0n;4895;6637;03-2-2010;3760;3470;active;Problematic
1011198508823662594;@Jxudaa;7517;8557;04-25-2018;711;10163;active;Normal
1012769000366002176;@GarroodSteve;35762;19015;09-29-2018;2664;14781;active;Problematic
1014793754;@zinathtinu;1904;63;03-16-2012;514;302;active;Normal
1021488170649755653;@Michell82956889;1202;8595;03-23-2018;368;77;active;Problematic
1023120814248546305;@Ay5hi;81387;181482;04-28-2018;5897;25065;active;Normal
1023968616545280000;@Canon50199706;9171;44853;04-30-2018;4712;3667;active;Problematic
1026297117588037632;@jinsjiddies;46830;33463;04-6-2018;1549;3915;active;Normal
1030538950979538944;@ClarkHedi;108799;102508;04-17-2018;3107;4025;active;Normal
1030990492769681409;@orbit12moons;28152;102464;04-19-2018;985;567;active;Normal
1032014830054637570;@dizdsmilly;6909;9435;09-21-2018;1758;1895;active;Problematic
1035612151845724161;@ElderSprooky;11724;9063;04-31-2018;531;531;active;Normal
1041024166260953088;@momo19715684;3515;6375;03-15-2018;422;6705;active;Normal
1043625578056814592;@MrSmallYouTuber;10776;561;05-22-2018;85;11936;active;Problematic
1044097462103871489;@Alinaxaza;281;508;11-24-2018;1062;81676;active;Problematic
1044686718954340353;@wingSSomnia;19569;63383;03-25-2018;1230;2923;active;Normal
1045246977674551297;@s3333an;1392;14885;03-27-2018;557;10458;active;Normal
1046381577339654144;@BlindToLies;9889;13588;04-30-2018;302;3309;active;Normal
1047131417614921729;@NancyYeboah;67;33;06-2-2018;192;87;active;Problematic
1049428646665052160;@ChubsSubs;2547;8;04-8-2018;13;18;active;Problematic
1051341801154461698;@soujer2;408;868;03-14-2018;453;28001;active;Normal
1053471548;@Fonspromo;7337;1493;07-1-2013;1247;252199;active;Problematic
1053509984426844162;@ChiemelaIgbo;13655;19987;10-20-2018;3852;5394;active;Problematic
1055602335244668928;@StacyBr57554385;588;1159;03-25-2018;48;31;active;Problematic
1055885143649476609;@Chitonyyy;15627;60071;04-26-2018;3071;4819;active;Normal
1057752117971173376;@theonlybolaji;17165;6447;10-31-2018;5935;5481;active;Problematic
105819297;@ren3927;1346;953;09-17-2010;3315;3262;active;Problematic
1058406404;@oex_exchange;280;177;03-3-2013;10;17889;active;Normal
1059117160591736833;@JunelJohn4;4367;37549;09-4-2018;1;1619;active;Problematic
106108207;@7555U;819;1008;05-18-2010;8901;8901;active;Problematic
1061770829887889408;@NijhuisClaretta;22337;116594;03-12-2018;1169;1395;active;Normal
1062082351172280320;@PlineyThe;21851;94155;03-12-2018;1214;1253;active;Normal
1063195296002441218;@Criclytics_1;47980;376263;04-15-2018;5672;6347;active;Normal
1064159726886416385;@RobertBabin16;5749;9135;03-18-2018;278;1254;active;Normal
1066634885325090816;@asfandyaranwar;2367;2843;04-25-2018;1045;1490;active;Normal
106727406;@madskastrup;3136;4495;03-20-2010;635;5538;active;Normal
1072742407995711489;@Unlimitedluck23;4852;5661;03-12-2018;4986;641;active;Normal
1073874730925547520;@JirkaVanourek;1361;3528;04-15-2018;4;18;active;Problematic
1080214570982100993;@OFladeLandim;27617;9036;03-1-2019;45;2880;active;Normal
1081244036504174597;@whoisnaee;73357;131612;03-4-2019;708;1127;active;Normal
1081603422443503617;@andishyar1;26404;49685;04-5-2019;1399;3551;active;Normal
1081751867049291781;@RepMyers;2262;1985;03-6-2019;811;1639;active;Normal
1082030847459348480;@sharon4DJT;3493;1637;07-6-2019;2143;2753;active;Problematic
